,num_of_cluster,totalGHG-euclidean,totalGHG-dba,totalGHG-softdtw
0,2,0.8277894353096389,0.8310065640849996,0.9209735817698601
1,3,0.7550762804743671,0.7804707932810956,0.8550285073872854
2,4,0.6949932073284043,0.7161322361122876,0.8388750464072012
3,5,0.6514050643234763,0.6918274083931604,0.64002484980682
4,6,0.6227077339904489,0.6997690741810635,0.6836808505461215
5,7,0.6229683882163417,0.5431161690789379,0.6762188036953369
6,8,0.5165197552591877,0.5417622769918552,0.5551582554271921
7,9,0.516741329293403,0.53492449934605,0.5754433067202517
8,10,0.5173420572226763,0.5553521672785111,0.5451143582767698
9,11,0.5161562321539507,0.5199547497534592,0.4733799450190641
10,12,0.5141108257574405,0.5185820005340986,0.4917032527067204
11,13,0.5159317839725464,0.538908020998628,0.43398838529305933
12,14,0.5103752066022669,0.5305361817642945,0.5419250519511631
13,15,0.5058413351830584,0.4273470873871886,0.4407242640160128
14,16,0.5035693043823382,0.43997002759551934,0.39985560904190337
15,17,0.47858880746059695,0.4353535769797656,0.4772550347731799
16,18,0.38832472562422515,0.4323115477916187,0.43197509183845284
17,19,0.3899980073970525,0.4803610378657605,0.4627009689572802
18,20,0.40062968703209806,0.43165625670564156,0.4711642303263642
